vOTU,p.value,adj.p.value,median_PD,median_CL,fold_change,direction,log2_fold_change,Family,Protein,KO,p,pathway
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_13,K04069,5.4e-34,pyruvate formate lyase activating enzyme [EC:1.97.1.4]
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_66,K18697,5.1e-54,phosphatidylglycerophosphatase C [EC:3.1.3.27]
DRR480285__12620,0.00253475198761037,0.0166682303446419,9.42093756244972e-06,0,10.4209375624497,Enriched_in_PD,3.38141317632797,Siphoviridae,DRR480285__12620_1,K07482,3.6e-90,"transposase, IS30 family"
DRR480285__12620,0.00253475198761037,0.0166682303446419,9.42093756244972e-06,0,10.4209375624497,Enriched_in_PD,3.38141317632797,Siphoviridae,DRR480285__12620_12,K00986,6e-55,RNA-directed DNA polymerase [EC:2.7.7.49]
DRR480285__12620,0.00253475198761037,0.0166682303446419,9.42093756244972e-06,0,10.4209375624497,Enriched_in_PD,3.38141317632797,Siphoviridae,DRR480285__12620_25,K06904,4.3e-23,Escherichia/Staphylococcus phage prohead protease
DRR480285__12620,0.00253475198761037,0.0166682303446419,9.42093756244972e-06,0,10.4209375624497,Enriched_in_PD,3.38141317632797,Siphoviridae,DRR480285__12620_46,K01449,1.8e-15,cell wall hydrolase
DRR480285__27788,2.4294243543376e-09,2.63955703818185e-07,0.000602557063003246,0.000771390907025944,0.781413993242379,Enriched_in_HC,-0.355841003941377,Unassigned,DRR480285__27788_1,K00656,1.2e-301,formate C-acetyltransferase [EC:2.3.1.54]
DRR480285__27788,2.4294243543376e-09,2.63955703818185e-07,0.000602557063003246,0.000771390907025944,0.781413993242379,Enriched_in_HC,-0.355841003941377,Unassigned,DRR480285__27788_15,K01751,1.2e-149,diaminopropionate ammonia-lyase [EC:4.3.1.15]
DRR480285__27788,2.4294243543376e-09,2.63955703818185e-07,0.000602557063003246,0.000771390907025944,0.781413993242379,Enriched_in_HC,-0.355841003941377,Unassigned,DRR480285__27788_2,K01649,2.2e-188,2-isopropylmalate synthase [EC:2.3.3.13]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_1,K07568,4.3e-61,S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_86,K07171,2.8e-26,mRNA interferase MazF [EC:3.1.-.-]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_18,K03111,1e-33,single-strand DNA-binding protein
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_16,K01160,1.3e-09,crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_33,K09961,2.4e-98,uncharacterized protein
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_2,K06400,1.8e-104,site-specific DNA recombinase
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_36,K07741,6.6e-24,anti-repressor protein
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_108,K04485,5.8e-187,DNA repair protein RadA/Sms
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_14,K02315,9.1e-52,DNA replication protein DnaC
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_63,K00986,4.1e-47,RNA-directed DNA polymerase [EC:2.7.7.49]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_105,K03210,7.6e-29,preprotein translocase subunit YajC
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_111,K01448,6.2e-30,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_104,K00773,7.2e-172,queuine tRNA-ribosyltransferase [EC:2.4.2.29]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_69,K08640,4.8e-28,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_112,K07456,3e-231,DNA mismatch repair protein MutS2
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_117,K06217,2.4e-148,phosphate starvation-inducible protein PhoH and related proteins
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_20,K00789,4.6e-166,S-adenosylmethionine synthetase [EC:2.5.1.6]
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_115,K03595,3.4e-105,GTPase
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_38,K09960,9.6e-62,uncharacterized protein
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_116,K07042,2.5e-46,probable rRNA maturation factor
DRR480286__12995,4.66889619227703e-10,7.13123144498661e-08,6.03044538266844e-05,0.000101265152735009,0.599465724023678,Enriched_in_HC,-0.738250828645267,Myoviridae,DRR480286__12995_113,K03584,3.1e-38,DNA repair protein RecO (recombination protein O)
DRR480286__3835,0.00549467377367089,0.0299846162204067,0.000345939515565075,0.0002962932833632,1.16699412660872,Enriched_in_PD,0.222797300090848,Microviridae,DRR480286__3835_15,K07001,3.3e-63,NTE family protein
DRR480286__3835,0.00549467377367089,0.0299846162204067,0.000345939515565075,0.0002962932833632,1.16699412660872,Enriched_in_PD,0.222797300090848,Microviridae,DRR480286__3835_12,K02469,0,DNA gyrase subunit A [EC:5.6.2.2]
DRR480286__3835,0.00549467377367089,0.0299846162204067,0.000345939515565075,0.0002962932833632,1.16699412660872,Enriched_in_PD,0.222797300090848,Microviridae,DRR480286__3835_14,K04079,1e-157,molecular chaperone HtpG
DRR480286__3835,0.00549467377367089,0.0299846162204067,0.000345939515565075,0.0002962932833632,1.16699412660872,Enriched_in_PD,0.222797300090848,Microviridae,DRR480286__3835_13,K03696,0,ATP-dependent Clp protease ATP-binding subunit ClpC
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_1,K02395,1.2e-17,peptidoglycan hydrolase FlgJ
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_34,K04068,2.9e-58,anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_54,K14059,2.8e-52,integrase
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_26,K06909,1.5e-131,phage terminase large subunit
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_33,K21636,5.4e-101,ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_36,K06919,1.9e-20,putative DNA primase/helicase
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_53,K14059,6.5e-51,integrase
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_6,K00986,3e-48,RNA-directed DNA polymerase [EC:2.7.7.49]
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_28,K07474,3.1e-49,phage terminase small subunit
DRR480287__3990,0.00150727999582625,0.0109856320027751,0.000264672404263335,0.000291535202606569,0.90817242470691,Enriched_in_HC,-0.138961862730441,Siphoviridae,DRR480287__3990_50,K01356,1.6e-37,repressor LexA [EC:3.4.21.88]
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_90,K26937,9.5e-104,"MATE family, multidrug efflux pump"
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_96,K25950,1.1e-162,secondary-alkyl amine dehydrogenase [NAD(P)+] [EC:1.4.1.28]
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_22,K07473,2.9e-16,DNA-damage-inducible protein J
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_37,K07741,9.3e-50,anti-repressor protein
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_85,K02968,1.5e-29,small subunit ribosomal protein S20
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_86,K03596,0,GTP-binding protein LepA
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_87,K02495,2.4e-73,oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_89,K00865,1.4e-153,glycerate 2-kinase [EC:2.7.1.165]
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_8,K07451,4.3e-13,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]
DRR480293__3360,1.75386503522199e-05,0.000320396192396804,5.68067502367998e-05,3.77987596395376e-05,1.48991232642118,Enriched_in_PD,0.575227438097618,Siphoviridae,DRR480293__3360_98,K00265,0,glutamate synthase (NADPH) large chain [EC:1.4.1.13]
DRR480294__17711,0.00480594101542841,0.0271580763332976,0,0,1,Enriched_in_HC,0,Myoviridae,DRR480294__17711_6,K09960,5.3e-64,uncharacterized protein
DRR480294__17711,0.00480594101542841,0.0271580763332976,0,0,1,Enriched_in_HC,0,Myoviridae,DRR480294__17711_40,K01520,5.5e-38,dUTP diphosphatase [EC:3.6.1.23]
DRR480294__17711,0.00480594101542841,0.0271580763332976,0,0,1,Enriched_in_HC,0,Myoviridae,DRR480294__17711_33,K08640,2.2e-20,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
DRR480294__21810,1.30810752784041e-05,0.000254249724254721,0,0,1,Enriched_in_HC,0,Microviridae,"","",,""
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_48,K03700,2.3e-21,recombination protein U
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_9,K14059,7.1e-53,integrase
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_28,K02315,3.5e-59,DNA replication protein DnaC
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_10,K25307,3.4e-46,low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_16,K06400,9.6e-80,site-specific DNA recombinase
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_84,K00986,1.3e-45,RNA-directed DNA polymerase [EC:2.7.7.49]
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_26,K03546,1.8e-72,DNA repair protein SbcC/Rad50
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_18,K07729,4.9e-15,putative transcriptional regulator
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_89,K08640,2.2e-23,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
DRR480294__4781,4.44891253923189e-06,0.000111973811179625,0.00023438657496666,0.00030192832021538,0.777037204046493,Enriched_in_HC,-0.36394441928087,Myoviridae,DRR480294__4781_12,K04794,2.2e-19,"peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]"
DRR480295__11492,0.00610167026371452,0.0322333347916227,0,0,1,Enriched_in_HC,0,Suoliviridae,DRR480295__11492_39,K27330,7.4e-121,Crassvirales DNA primase
DRR480295__11492,0.00610167026371452,0.0322333347916227,0,0,1,Enriched_in_HC,0,Suoliviridae,DRR480295__11492_56,K03088,7.3e-28,"RNA polymerase sigma-70 factor, ECF subfamily"
DRR480295__11492,0.00610167026371452,0.0322333347916227,0,0,1,Enriched_in_HC,0,Suoliviridae,DRR480295__11492_34,K27727,5.1e-158,Suoliviridae exonuclease
DRR480295__11492,0.00610167026371452,0.0322333347916227,0,0,1,Enriched_in_HC,0,Suoliviridae,DRR480295__11492_47,K26722,0,Suoliviridae DNA polymerase
DRR480295__11492,0.00610167026371452,0.0322333347916227,0,0,1,Enriched_in_HC,0,Suoliviridae,DRR480295__11492_45,K26927,1.9e-172,Suoliviridae DNA helicase
DRR480295__14174,0.000378809252548213,0.00361291467204128,2.64358338633588e-05,1.66034173058708e-05,1.55855158044847,Enriched_in_PD,0.640205901916005,Myoviridae,DRR480295__14174_26,K07474,3.2e-46,phage terminase small subunit
DRR480295__14174,0.000378809252548213,0.00361291467204128,2.64358338633588e-05,1.66034173058708e-05,1.55855158044847,Enriched_in_PD,0.640205901916005,Myoviridae,DRR480295__14174_35,K06919,1.6e-15,putative DNA primase/helicase
DRR480295__14174,0.000378809252548213,0.00361291467204128,2.64358338633588e-05,1.66034173058708e-05,1.55855158044847,Enriched_in_PD,0.640205901916005,Myoviridae,DRR480295__14174_25,K06909,3.1e-128,phage terminase large subunit
DRR480295__14174,0.000378809252548213,0.00361291467204128,2.64358338633588e-05,1.66034173058708e-05,1.55855158044847,Enriched_in_PD,0.640205901916005,Myoviridae,DRR480295__14174_30,K03465,4.7e-52,thymidylate synthase (FAD) [EC:2.1.1.148]
DRR480295__14174,0.000378809252548213,0.00361291467204128,2.64358338633588e-05,1.66034173058708e-05,1.55855158044847,Enriched_in_PD,0.640205901916005,Myoviridae,DRR480295__14174_55,K01356,2.9e-37,repressor LexA [EC:3.4.21.88]
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_94,K02315,7.1e-50,DNA replication protein DnaC
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_92,K01160,3.2e-10,crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_42,K07273,9.9e-43,lysozyme
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_8,K03111,3.6e-36,single-strand DNA-binding protein
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_100,K01449,1.8e-37,cell wall hydrolase
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_13,K07171,1.3e-15,mRNA interferase MazF [EC:3.1.-.-]
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_97,K07455,1.5e-56,recombination protein RecT
DRR480296__1180,3.52274861695269e-07,1.43344585614148e-05,5.44739717868489e-05,8.28965465200721e-05,0.661218775835747,Enriched_in_HC,-0.596800403196446,Siphoviridae,DRR480296__1180_14,K03497,2.9e-43,"ParB family transcriptional regulator, chromosome partitioning protein"
DRR480296__25882,0.000247270341801128,0.00252029219752619,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480296__25882_34,K06218,1.1e-21,mRNA interferase RelE/StbE
DRR480296__25882,0.000247270341801128,0.00252029219752619,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480296__25882_29,K08640,8.4e-36,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
DRR480297__15608,0.008707339050931,0.0421141102605607,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480297__15608_5,K01358,9.7e-23,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
DRR480297__15608,0.008707339050931,0.0421141102605607,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480297__15608_52,K06400,1.3e-109,site-specific DNA recombinase
DRR480297__2908,0.00152446215082276,0.0110938382554384,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480297__2908_24,K06909,1.1e-100,phage terminase large subunit
DRR480297__2908,0.00152446215082276,0.0110938382554384,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480297__2908_44,K03111,6.2e-39,single-strand DNA-binding protein
DRR480297__2908,0.00152446215082276,0.0110938382554384,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480297__2908_63,K07273,4.2e-12,lysozyme
DRR480297__2908,0.00152446215082276,0.0110938382554384,0,0,1,Enriched_in_HC,0,Siphoviridae,DRR480297__2908_58,K03627,1.3e-11,putative transcription factor
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_3,K23536,2.8e-71,general nucleoside transport system permease protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_53,K06908,7.5e-15,Bacteriophage tail tube protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_71,K00986,9.6e-42,RNA-directed DNA polymerase [EC:2.7.7.49]
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_57,K06905,6.3e-41,Bacteriophage probable baseplate hub protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_17,K02342,1.7e-30,DNA polymerase III subunit epsilon [EC:2.7.7.7]
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_6,K06971,1.5e-71,uncharacterized protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_19,K01449,3.5e-18,cell wall hydrolase
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_25,K03111,3.1e-37,single-strand DNA-binding protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_2,K23535,1.4e-88,general nucleoside transport system permease protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_30,K03700,1.1e-31,recombination protein U
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_46,K01358,1.1e-27,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_7,K07079,3.1e-81,uncharacterized protein
DRR480298__14991,0.00551375634516988,0.0300438456182379,3.18248354265998e-05,2.02706017233294e-05,1.54320201438391,Enriched_in_PD,0.625926931690284,Siphoviridae,DRR480298__14991_27,K02315,3.9e-55,DNA replication protein DnaC
